chuboe_rfq_id,chuboe_buyer_id,c_bpartner_id,ad_user_id,chuboe_mpn,chuboe_mfr_text,qty,cost,c_currency_id,chuboe_date_code,chuboe_moq,chuboe_spq,chuboe_packaging_id,chuboe_lead_time,c_country_id,chuboe_rohs,chuboe_note_public
1061482,Jake Harris,1003294,,LM2903AVQDRG4Q1,,,,,,,,,o:messagesend@netcomponents.co,,,"[PARTIAL - needs: price, qty] Quoted MPN: LM2903AVQDRG4Q1 (RFQ MPN: LM2903AVQDRG4Q1)."
1061482,Jake Harris,1003294,,TI/11+/OWN,Communications & Ear Protection Inc,2400,,,,,,,building a more resilient worl,of origin,,[PARTIAL - needs: price] Quoted MPN: TI/11+/OWN (RFQ MPN: LM2903AVQDRG4Q1).
1130292,Jake Harris,1004598,,IXDD609SI,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1004598,,IXDD609SI,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1004598,,IXDD609SI,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1004598,,IXDD609SI,,,,,,,,,,Reference,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1004598,,IXDD609SI,,,,,Ship Date Request Da,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1004598,,IXDD609SI,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1004598,,IXDD609SI,,100,,,,,,,Stock,,,[PARTIAL - needs: price]
1130292,Jake Harris,1004598,,IXDD609SI,COFC Avail,100,,,,,,,changes without notice. For im,,,[PARTIAL - needs: price]
1130292,Jake Harris,1003601,,TG110-S050N2RLTR,Communications & Ear Protection Inc,,,,,,,,building a more resilient worl,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1003601,,TG110-S050N2RLTR,Communications & Ear Protection Inc,,,,,,,,building a more resilient worl,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1003216,,80CPQ150PBF,,,01,USD,A6F3,,,,s ·Beste groeten ·Mit freundli,,,[PARTIAL - needs: qty]
1130292,Jake Harris,1003216,,80CPQ150PBF,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1003216,,80CPQ150PBF,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1003216,,80CPQ150PBF,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1003216,,80CPQ150PBF,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1003216,,VISH/2009/IN,Communications & Ear Protection Inc,8,,,,,,,building a more resilient worl,of origin,,[PARTIAL - needs: price]
1130292,Jake Harris,1006423,,B340-13-F,,,06,USD,,,,,vertrauliche und/oder rechtlic,,,[PARTIAL - needs: qty]
1130292,Jake Harris,1006423,,B340-13-F,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1006423,,B340-13-F,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1006423,,B340-13-F,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1006423,,B340-13-F,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1006423,,B340-13-F,Communications & Ear Protection Inc,3000,,,,,,,building a more resilient worl,of origin,,[PARTIAL - needs: price]
1130292,Jake Harris,,,LM2585S-5.0NOPB,,,,,,,,,,,,"[PARTIAL - needs: price, qty] [VENDOR NOT IN DB: Info _ Euro Chip Distribution <info@chipdistribution.com>]"
1130292,Jake Harris,,,LM2585S-5.0NOPB,,,,,,,,,,,,"[PARTIAL - needs: price, qty] [VENDOR NOT IN DB: Info _ Euro Chip Distribution <info@chipdistribution.com>]"
1130292,Jake Harris,,,LM2585S-5.0NOPB,,,,,,,,,,,,"[PARTIAL - needs: price, qty] [VENDOR NOT IN DB: Info _ Euro Chip Distribution <info@chipdistribution.com>]"
1130292,Jake Harris,,,LM2585S-5.0NOPB,,,,,,,,,,,,"[PARTIAL - needs: price, qty] [VENDOR NOT IN DB: Info _ Euro Chip Distribution <info@chipdistribution.com>]"
1130292,Jake Harris,,,NSC/0824,Communications & Ear Protection Inc,,,,,,,,building a more resilient worl,of origin,,"[PARTIAL - needs: price, qty] [VENDOR NOT IN DB: Info _ Euro Chip Distribution <info@chipdistribution.com>]"
1130292,Jake Harris,,,LM2585S-5.0NOPB,,,,,,,,,,,,"[PARTIAL - needs: price, qty] [VENDOR NOT IN DB: Info _ Euro Chip Distribution <info@chipdistribution.com>]"
1130292,Jake Harris,,,LM2585S-5.0NOPB,,,,,,,,,,,,"[PARTIAL - needs: price, qty] [VENDOR NOT IN DB: Info _ Euro Chip Distribution <info@chipdistribution.com>]"
1130292,Jake Harris,,,LM2585S-5.0NOPB,,,,,,,,,,,,"[PARTIAL - needs: price, qty] [VENDOR NOT IN DB: Info _ Euro Chip Distribution <info@chipdistribution.com>]"
1130292,Jake Harris,,,LM2585S-5.0NOPB,,,,,,,,,,,,"[PARTIAL - needs: price, qty] [VENDOR NOT IN DB: Info _ Euro Chip Distribution <info@chipdistribution.com>]"
1130292,Jake Harris,,,NSC/0824,Communications & Ear Protection Inc,,,,,,,,building a more resilient worl,of origin,,"[PARTIAL - needs: price, qty] [VENDOR NOT IN DB: Info _ Euro Chip Distribution <info@chipdistribution.com>]"
1130292,Jake Harris,1008419,,BAT54S-7-F,Diodes Inc,28992,,,22+ Price,,,,In Stock,,,[PARTIAL - needs: price]
1130292,Jake Harris,1008419,,BAT54S-7-F,,28992,,,,,,,FOB Almelo,,,[PARTIAL - needs: price]
1130292,Jake Harris,1008419,,BAT54S-7-F,,28992,01,USD,A70A,,,,,,,
1130292,Jake Harris,1008419,,BAT54S-7-F,,28992,,,,,,,,,,[PARTIAL - needs: price]
1130292,Jake Harris,1008419,,BAT54S-7-F,,28992,,,,,,,,,,[PARTIAL - needs: price]
1130292,Jake Harris,1008419,,BAT54S-7-F,,28992,,,,,,,,,,[PARTIAL - needs: price]
1130292,Jake Harris,1008419,,BAT54S-7-F,Communications & Ear Protection Inc,28992,,,,,,,building a more resilient worl,of origin,,[PARTIAL - needs: price]
1130292,Jake Harris,1007917,,P600M-E3/54,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1007917,,P600M-E3/54,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1007917,,P600M-E3/54,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1007917,,P600M-E3/54,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1007917,,P600M-E3/54,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1007917,,VISH/17+,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1007917,,P600M-E3/54,Communications & Ear Protection Inc,,,,,,,,building a more resilient worl,of origin,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1002886,,HCF4093M013TR,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1002886,,HCF4093M013TR,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1002886,,HCF4093M013TR,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1002886,,HCF4093M013TR,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1002886,,HCF4093M013TR,Communications & Ear Protection Inc,,,,,,,,building a more resilient worl,of origin,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1004598,,IXDD609SI,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1004598,,IXDD609SI,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1004598,,IXDD609SI,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1004598,,IXDD609SI,,,,,,,,,,Reference,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1004598,,IXDD609SI,,,,,Ship Date Request Da,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1004598,,IXDD609SI,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130292,Jake Harris,1004598,,IXDD609SI,,100,,,,,,,Stock,,,[PARTIAL - needs: price]
1130292,Jake Harris,1004598,,IXDD609SI,Communications & Ear Protection Inc,,,,,,,,changes without notice. For im,,,"[PARTIAL - needs: price, qty]"
1130350,Jake Harris,1002912,,MSP430F149IPM,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130350,Jake Harris,1002912,,MSP430F149IPM,,,01,USD,A72A,,,,STOCK,,,[PARTIAL - needs: qty]
1130350,Jake Harris,1002912,,MSP430F149IPM,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130350,Jake Harris,1002912,,MSP430F149IPM,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130350,Jake Harris,1002912,,MSP430F149IPM,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130350,Jake Harris,1002912,,MSP430F149IPM,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130350,Jake Harris,1002912,,MSP430F149IPM,,,,,,,,,,,,"[PARTIAL - needs: price, qty]"
1130350,Jake Harris,1002912,,TI/1536/OWN,Communications & Ear Protection Inc,25,,,,,,,ry,of origin,,[PARTIAL - needs: price]
