chuboe_rfq_id,chuboe_buyer_id,c_bpartner_id,ad_user_id,chuboe_mpn,chuboe_mfr_text,qty,cost,c_currency_id,chuboe_date_code,chuboe_moq,chuboe_spq,chuboe_packaging_id,chuboe_lead_time,c_country_id,chuboe_rohs,chuboe_note_public
1011238,Jake Harris,1001637,,LM7805CT/NOPB,Broadcom,250,0.84,,24/25,,,,,,,
1011238,Jake Harris,1001637,,LM7805CT/NOPB,,250,0.84,,24/25,,,,,,,
1011238,Jake Harris,1001637,,LM7805CT/NOPB,,250,0.84,,24/25,,,,STOCK,,,
1011238,Jake Harris,1001637,,LM7805CT/NOPB,,250,0.84,,24/25,,,,,,,
1011238,Jake Harris,1001637,,STS-26020353,,1392,0.84,,,,,,,MY Thank you,,
1011238,Jake Harris,1001637,,LM7805CT/NOPB,,250,0.84,USD,24/25,,,,,,,
1061160,Jake Harris,1003601,,BSP77E6433HUMA1,Infineon,6000,0.704,USD,,,,Tape&Reel,options,,,
1061160,Jake Harris,1003601,,BSP77E6433HUMA1,Infineon,6000,0.704,USD,,,,Tape&Reel,options,,,
1061160,Jake Harris,1003601,,BSP77E6433HUMA1,Infineon,6000,0.704,USD,,,,Tape&Reel,options,,,
1061482,Jake Harris,1013055,,A2GLOBALELECTRONICS.COM,,22,10.00,USD,,,,,,ated from outside of,,Quoted MPN: A2GLOBALELECTRONICS.COM (RFQ MPN: LM2903AVQDRG4).
1098364,Jake Harris,1002426,,200PCS,,200,6.00,USD,Best,,,,,,,
1124623,Jake Harris,1002564,,STM32F103C8T6,,1000,2.50,,,,,,,,,
1124623,Jake Harris,1002564,,STM32F103C8T6,,1000,2.50,,,,,,,,,
1124623,Jake Harris,1002855,,STM32F103C8T6,STMicroelectronics,4936,2.00,USD,12+,,,Tray,,,,
1127038,Jake Harris,1000944,,FZT751TA,Broadcom,10000,0.15,,21+,,,,Stock,,,
1127038,Jake Harris,1000944,,FZT751TA,,10000,0.15,,21+,,,,,,,
1127038,Jake Harris,1000944,,FZT751TA,,10000,0.15,USD,21+,,,,stock,al parts,,
1127038,Jake Harris,1000944,,FZT751TA,,10000,0.15,,21+,,,,,,,
1128015,Jake Harris,1001036,,NUP2105LT1G,,153000,0.08,,22+,,,,,,,
1128015,Jake Harris,1001036,,NUP2105LT1G,,153000,0.08,,22+,,,,,,,S
1128015,Jake Harris,1001036,,NUP2105LT1G,,153000,0.08,,22+,,,,,,,
1128015,Jake Harris,1001036,,NUP2105LT1G,,153000,0.08,USD,22+,,,,1G,,,
1128015,Jake Harris,1001036,,NUP2105LT1G,,153000,0.08,USD,22+,,,,Terms & Conditions - a copy of,,,
1128015,Jake Harris,1004176,,NUP2105LT1G,,10000,0.05,USD,21,,,,1G),,,
1128015,Jake Harris,1002863,,NUP2105LT1-G,,10000,0.03,USD,,,,,1-G),TAIWAN New And Ori,,
1128015,Jake Harris,1002863,,NUP2105LT1-G,,10000,0.03,USD,,,,,1-G),al Parts,,
1128015,Jake Harris,1003155,,NUP2105LT1G,,2541,0.05,,,,,,,,,
1128015,Jake Harris,1003155,,NUP2105LT1G,,2541,0.05,,,,,,s),peration,,
1128746,Jake Harris,1003448,,LM2901AVQDRG4,,100,0.50,,,,,,,,,
1128746,Jake Harris,1003448,,LM2901AVQDRG4,,100,0.50,,,,,,,al Message,,
1128746,Jake Harris,1000943,,LM2901AVQDRG4,,100,0.50,,200318,,,,"Shelf Life UOM CVC Components Ltd Scatterbrook Farm Rectory Lane Latchingdon Essex CM3 6HB NCAGE: U9372 www.cvc-components.com +44 (0)1621 745450 600 02.50 $1,500.00 594D127X0020R2T (VISHAY CAPACITORS) 1 NS STOCK EA PASSIVE CAPACITOR MILSPEC AXIAL CONDUCTORS SEPERATED BY INSULATION (DC 200318) $0.00 USD Condition FN Factory New NS New Surplus US Used Surplus AR As Removed OH Over Hauled SV Serviceable MINIMUM ORDER VALUE 50 $/£/ € All Prices Quoted Ex-Works, supplied with a CVC Company C of C only unless otherwise stated. We, CVC Components Ltd, As a distributor/agent of the original manufacturer, hereby confirm that, all the part numbers of items offered are 100% fit, size, form, function with the Tender Part numbers in above mentioned RFQ Please note that all these items are fully interchangeable, in fit, form and function. Signed & Sealed Ellie O Connell $1,500.00 Page 1 of 1",,,
1129833,Jake Harris,1001118,,T405-600H,STMicroelectronics,2775,0.31000,USD,18+,,3000,,2,,,"lot code removed, EXW Oradea. no F/S, Site approval is required."
1129855,Jake Harris,1001118,,LCMXO3LF-2100C-5BG256C,Lattice Semiconductor Corp,476,5.80000,USD,2241+ COO MY,,119,,2,,,"EXW TH, Lot code removed, Site approval is required"
1130292,Jake Harris,1006047,,H4S-1P7,,300,70,USD,stock / rohs,,,,s Tony Stratopoulos,al Message,,Quoted MPN: H4S-1P7 (RFQ MPN: SPP11N80C3).
1130292,Jake Harris,1004383,,SP12-SN,,85,17.00,,18+,,,,,,,
1130292,Jake Harris,1002611,,RMCP2010FT22R0,,10,10,USD,NA but is ROHS with,,,,,,,
1130292,Jake Harris,1005513,,DG403DY-T1-E3,,2,2,USD,new,,,,,,,
1130292,Jake Harris,1002999,,TG110-S050N2LFTR,,1000,0.595,USD,,,,,stock,,,
1130292,Jake Harris,1002611,,NTCS0603E3103FHT,,425,0.3,USD,NA but it is ROHS Be,,,,,,,
1130292,Jake Harris,1004810,,P600M-E3/54,,5000,2.00,USD,stock,,,,| ANAB] [A blue and white,,,
1130292,Jake Harris,,,PCL037-0,,2,1.80,USD,,,,,Supply Electronics,,,[VENDOR NOT IN DB: Denise Hicks <hicks@standardsupply.com>] Quoted MPN: PCL037-0 (RFQ MPN: PCL03).
1130292,Jake Harris,1004279,,SPP11N80C3IN,,50,3.00,,,,,,,,,Quoted MPN: SPP11N80C3IN (RFQ MPN: SPP11N80C3). OUR NEW ADDRESS:
1130292,Jake Harris,1004279,,SPP11N80C3IN,,50,3.00,,,,,,,,,Quoted MPN: SPP11N80C3IN (RFQ MPN: SPP11N80C3).
1130292,Jake Harris,1000453,,MPZ2012S101AT000,,5400,0.04,USD,,,,,,,,
1130292,Jake Harris,1000549,,J0011D21BNL,Kopin Targeting Corporation,500,2.00,,,,,,,,,
1130292,Jake Harris,1000494,,BTS723GW,,2000,1.50,,,,,,,,,
1130292,Jake Harris,1000494,,BTS723GW,All Labels,2000,1.50,USD,0814 RoHS unknown Cu,,,,,,,
1130292,Jake Harris,1000494,,BTS723GW,,2000,1.50,,,,,,,,,
1130292,Jake Harris,1003324,,FWH-125B,,7,95,USD,,,,,In stock,,,
1130292,Jake Harris,1002999,,TG110-S050N2LFTR,,1000,0.595,USD,,,,,stock,,,
1130292,Jake Harris,1001098,,TG110-S050N2RLTR,,725,0.60,,,,,,,,,
1130292,Jake Harris,1001637,,J0011D21BNL,Broadcom,775,1.95,,23,,,,,,,
1130292,Jake Harris,1001637,,J0011D21BNL,,775,1.95,,23,,,,,,,
1130292,Jake Harris,1001637,,J0011D21BNL,,775,1.95,,23,,,,STOCK,,,
1130292,Jake Harris,1001637,,J0011D21BNL,,775,1.95,,23,,,,,,,
1130292,Jake Harris,1001637,,J0011D21BNL,,775,1.95,USD,23,,,,,,,
1130292,Jake Harris,1001637,,LM2903AVQDR,Broadcom,2400,0.19,,22,,,,,,,
1130292,Jake Harris,1001637,,LM2903AVQDR,,2400,0.19,,22,,,,,,,
1130292,Jake Harris,1001637,,LM2903AVQDR,,2400,0.19,,22,,,,STOCK,,,
1130292,Jake Harris,1001637,,LM2903AVQDR,,2400,0.19,,22,,,,,,,
1130292,Jake Harris,1001637,,LM2903AVQDR,,2400,0.19,,22,,,,,,,
1130292,Jake Harris,1003155,,BCP53-16TX,,700,0.383,,2022,,,,,,,
1130292,Jake Harris,1003155,,BCP53-16TX,,700,0.383,,2022,,,,s),peration,,
1130292,Jake Harris,1000942,,DG403DY-T1-E3,,50,3.00,USD,16+ br,,,,Stock,,,
1130292,Jake Harris,1000942,,DG403DY-T1-E3,,50,3.00,,,,,,Stock,,,
