chuboe_rfq_id,chuboe_buyer_id,c_bpartner_id,ad_user_id,chuboe_mpn,chuboe_mfr_text,qty,cost,c_currency_id,chuboe_date_code,chuboe_moq,chuboe_spq,chuboe_packaging_id,chuboe_lead_time,c_country_id,chuboe_rohs,chuboe_note_public
1011238,Jake Harris,1001637,,STS-26020353,,1392,0.84,,,,,,,MY Thank you,, - Manual extraction batch 2
1011238,Jake Harris,1001637,,LM7805CT/NOPB,,7805,8,USD,,,,,,,,Manual extraction batch 3
1011238,Jake Harris,1001637,,LM7805CT/NOPB,,7805,729,USD,,,,,,,,Manual extraction batch 4
1011238,Jake Harris,1001637,,LM7805CT/NOPB,,7805,979,USD,,,,,,,,Manual extraction batch 4
1011238,Jake Harris,1001637,,LM7805CT/NOPB,,7805,4,USD,,,,,,,,Manual extraction batch 3
1011238,Jake Harris,1001637,,LM7805CT/NOPB,,7805,1783731,USD,,,,,,,,Manual extraction batch 4
1061160,Jake Harris,1003601,,BSP77E6433HUMA1,Infineon,6000,0.704,USD,,,,Tape&Reel,options,,,
1061482,Jake Harris,1000453,,LM2903AVQDRG4Q1,Communications & Ear Protection Inc,60,3.34,USD,/ Rohs,,,,building a more resilient worl,,,
1061482,Jake Harris,1013055,,LM2903AVQDRG4,,2400,01,USD,A677,,,,,,,Manual batch 6
1061482,Jake Harris,1002611,,LM2903AVQDRG4Q1,,63,9.5,USD,14+ 63pcs IC TRO,,,,,,,
1061489,Jake Harris,1001637,,LM2901AVQDRG4Q1,Broadcom,2400,0.10,,QTY PRICE TOTAL PRIC,,,,STOCK,,,Manual batch 10, qty]"
1061489,Jake Harris,1001637,,STS-26020362,,3329,0.45,,,,,,,,, - Manual extraction batch 2
1061489,Jake Harris,1001637,,LM2901AVQDRG4Q1,,2400,0.10,USD,,,,,,,,Manual batch 10, qty]"
1061489,Jake Harris,1001637,,LM2901AVQDRG4Q1,,2400,0.10,USD,,,,,,,,Manual batch 10, qty]"
1061489,Jake Harris,1001637,,LM2901AVQDRG4Q1,,2400,0.10,USD,968,,,,,,,Manual batch 10
1061489,Jake Harris,1001637,,LM2901AVQDRG4Q1,,2400,0.10,USD,,,,,,,,Manual batch 10
1061489,Jake Harris,1001637,,LM2901AVQDRG4Q1,,2400,0.10,USD,,,,,,,,Manual batch 10
